 table_schema |        table_name         |          column_name          |          data_type          | character_maximum_length | is_nullable |           column_default            
 public       | cost_items                | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | currency_rates            | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | currency_rates            | date                          | date                        |                          | NO          | 
 public       | currency_rates            | pair                          | text                        |                          | NO          | 
 public       | currency_rates            | rate                          | numeric                     |                          | NO          | 
 public       | currency_rates            | source                        | text                        |                          | YES         | 
 public       | currency_rates            | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | equipment_reservations    | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | equipment_reservations    | equipment_id                  | uuid                        |                          | NO          | 
 public       | equipment_reservations    | commercial_user_id            | uuid                        |                          | NO          | 
 public       | equipment_reservations    | status                        | text                        |                          | NO          | 'PENDING'::text
 public       | equipment_reservations    | documents                     | jsonb                       |                          | YES         | '[]'::jsonb
 public       | equipment_reservations    | comments                      | text                        |                          | YES         | 
 public       | equipment_reservations    | approved_by                   | uuid                        |                          | YES         | 
 public       | equipment_reservations    | approved_at                   | timestamp with time zone    |                          | YES         | 
 public       | equipment_reservations    | rejected_by                   | uuid                        |                          | YES         | 
 public       | equipment_reservations    | rejected_at                   | timestamp with time zone    |                          | YES         | 
 public       | equipment_reservations    | rejection_reason              | text                        |                          | YES         | 
 public       | equipment_reservations    | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | equipment_reservations    | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | equipments                | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | equipments                | purchase_id                   | uuid                        |                          | YES         | 
 public       | equipments                | supplier_name                 | text                        |                          | YES         | 
 public       | equipments                | model                         | text                        |                          | YES         | 
 public       | equipments                | serial                        | text                        |                          | YES         | 
 public       | equipments                | shipment_departure_date       | date                        |                          | YES         | 
 public       | equipments                | shipment_arrival_date         | date                        |                          | YES         | 
 public       | equipments                | port_of_destination           | text                        |                          | YES         | 
 public       | equipments                | nationalization_date          | date                        |                          | YES         | 
 public       | equipments                | current_movement              | text                        |                          | YES         | 
 public       | equipments                | current_movement_date         | date                        |                          | YES         | 
 public       | equipments                | year                          | integer                     |                          | YES         | 
 public       | equipments                | hours                         | integer                     |                          | YES         | 
 public       | equipments                | pvp_est                       | numeric                     |                          | YES         | 
 public       | equipments                | comments                      | text                        |                          | YES         | 
 public       | equipments                | full_serial                   | numeric                     |                          | YES         | 
 public       | equipments                | state                         | text                        |                          | YES         | 
 public       | equipments                | machine_type                  | text                        |                          | YES         | 
 public       | equipments                | wet_line                      | text                        |                          | YES         | 
 public       | equipments                | arm_type                      | text                        |                          | YES         | 
 public       | equipments                | track_width                   | numeric                     |                          | YES         | 
 public       | equipments                | bucket_capacity               | numeric                     |                          | YES         | 
 public       | equipments                | warranty_months               | integer                     |                          | YES         | 
 public       | equipments                | warranty_hours                | integer                     |                          | YES         | 
 public       | equipments                | engine_brand                  | text                        |                          | YES         | 
 public       | equipments                | cabin_type                    | text                        |                          | YES         | 
 public       | equipments                | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | equipments                | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | equipments                | created_by                    | uuid                        |                          | YES         | 
 public       | equipments                | commercial_observations       | text                        |                          | YES         | 
 public       | equipments                | real_sale_price               | numeric                     |                          | YES         | 
 public       | equipments                | start_staging                 | date                        |                          | YES         | 
 public       | equipments                | end_staging                   | date                        |                          | YES         | 
 public       | equipments                | blade                         | text                        |                          | YES         | 
 public       | equipments                | condition                     | character varying           |                       20 | YES         | 'USADO'::character varying
 public       | equipments                | new_purchase_id               | uuid                        |                          | YES         | 
 public       | equipments                | mq                            | character varying           |                       50 | YES         | 
 public       | equipments                | staging_type                  | character varying           |                       20 | YES         | NULL::character varying
 public       | equipments                | reservation_status            | text                        |                          | YES         | 'AVAILABLE'::text
 public       | machine_files             | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | machine_files             | machine_id                    | uuid                        |                          | NO          | 
 public       | machine_files             | file_name                     | character varying           |                      255 | NO          | 
 public       | machine_files             | file_path                     | character varying           |                      500 | NO          | 
 public       | machine_files             | file_type                     | character varying           |                       50 | NO          | 
 public       | machine_files             | file_size                     | bigint                      |                          | NO          | 
 public       | machine_files             | mime_type                     | character varying           |                      100 | YES         | 
 public       | machine_files             | uploaded_by                   | uuid                        |                          | NO          | 
 public       | machine_files             | uploaded_at                   | timestamp with time zone    |                          | YES         | now()
 public       | machine_files             | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | machine_files             | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | machine_files             | scope                         | text                        |                          | YES         | 'GENERAL'::text
 public       | machine_movements         | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | machine_movements         | purchase_id                   | uuid                        |                          | NO          | 
 public       | machine_movements         | movement_description          | text                        |                          | NO          | 
 public       | machine_movements         | movement_date                 | date                        |                          | NO          | 
 public       | machine_movements         | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | machine_movements         | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | machine_movements         | created_by                    | uuid                        |                          | YES         | 
 public       | machine_movements         | condition                     | character varying           |                       20 | YES         | 'USADO'::character varying
 public       | machine_spec_defaults     | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | machine_spec_defaults     | brand                         | character varying           |                      100 | NO          | 
 public       | machine_spec_defaults     | model                         | character varying           |                      255 | NO          | 
 public       | machine_spec_defaults     | capacidad                     | character varying           |                       50 | YES         | 
 public       | machine_spec_defaults     | tonelage                      | character varying           |                       50 | YES         | 
 public       | machine_spec_defaults     | spec_blade                    | boolean                     |                          | YES         | false
 public       | machine_spec_defaults     | spec_pip                      | boolean                     |                          | YES         | false
 public       | machine_spec_defaults     | spec_cabin                    | character varying           |                       80 | YES         | 
 public       | machine_spec_defaults     | arm_type                      | character varying           |                       80 | YES         | 
 public       | machine_spec_defaults     | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | machine_spec_defaults     | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | machines                  | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | machines                  | model                         | text                        |                          | NO          | 
 public       | machines                  | serial                        | text                        |                          | NO          | 
 public       | machines                  | year                          | integer                     |                          | NO          | 
 public       | machines                  | hours                         | integer                     |                          | YES         | 0
 public       | machines                  | drive_folder_id               | text                        |                          | YES         | 
 public       | machines                  | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | machines                  | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | machines                  | brand                         | character varying           |                      100 | YES         | 
 public       | machines                  | machine_type                  | text                        |                          | YES         | 
 public       | machines                  | wet_line                      | text                        |                          | YES         | 
 public       | machines                  | arm_type                      | text                        |                          | YES         | 
 public       | machines                  | track_width                   | numeric                     |                          | YES         | 
 public       | machines                  | bucket_capacity               | numeric                     |                          | YES         | 
 public       | machines                  | warranty_months               | integer                     |                          | YES         | 
 public       | machines                  | warranty_hours                | integer                     |                          | YES         | 
 public       | machines                  | engine_brand                  | text                        |                          | YES         | 
 public       | machines                  | cabin_type                    | text                        |                          | YES         | 
 public       | machines                  | blade                         | text                        |                          | YES         | 
 public       | machines                  | capacidad                     | character varying           |                       50 | YES         | 
 public       | machines                  | tonelage                      | character varying           |                       50 | YES         | 
 public       | machines                  | shoe_width_mm                 | integer                     |                          | YES         | 
 public       | machines                  | spec_pip                      | boolean                     |                          | YES         | false
 public       | machines                  | spec_blade                    | boolean                     |                          | YES         | false
 public       | machines                  | spec_cabin                    | character varying           |                      100 | YES         | 
 public       | management_table          | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | management_table          | machine_id                    | uuid                        |                          | NO          | 
 public       | management_table          | auction_id                    | uuid                        |                          | YES         | 
 public       | management_table          | purchase_id                   | uuid                        |                          | YES         | 
 public       | management_table          | total_fob                     | numeric                     |                          | YES         | 0
 public       | management_table          | total_cif                     | numeric                     |                          | YES         | 0
 public       | management_table          | total_costs                   | numeric                     |                          | YES         | 0
 public       | management_table          | projected_value               | numeric                     |                          | YES         | 
 public       | management_table          | estimated_pvp                 | numeric                     |                          | YES         | 
 public       | management_table          | sales_status                  | text                        |                          | NO          | 'AVAILABLE'::text
 public       | management_table          | final_comments                | text                        |                          | YES         | 
 public       | management_table          | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | management_table          | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | model_specifications      | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | model_specifications      | model                         | character varying           |                      100 | NO          | 
 public       | model_specifications      | condition                     | character varying           |                       20 | NO          | 
 public       | model_specifications      | cabin_type                    | character varying           |                       50 | YES         | 
 public       | model_specifications      | wet_line                      | character varying           |                       10 | YES         | 
 public       | model_specifications      | dozer_blade                   | character varying           |                       10 | YES         | 
 public       | model_specifications      | track_type                    | character varying           |                       50 | YES         | 
 public       | model_specifications      | track_width                   | character varying           |                       50 | YES         | 
 public       | model_specifications      | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | model_specifications      | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | model_specifications      | created_by                    | uuid                        |                          | YES         | 
 public       | new_purchase_files        | id                            | uuid                        |                          | NO          | uuid_generate_v4()
 public       | new_purchase_files        | new_purchase_id               | uuid                        |                          | NO          | 
 public       | new_purchase_files        | file_name                     | character varying           |                      255 | NO          | 
 public       | new_purchase_files        | file_path                     | character varying           |                      500 | NO          | 
 public       | new_purchase_files        | file_type                     | character varying           |                       50 | NO          | 
 public       | new_purchase_files        | file_size                     | bigint                      |                          | NO          | 
 public       | new_purchase_files        | mime_type                     | character varying           |                      100 | YES         | 
 public       | new_purchase_files        | uploaded_by                   | uuid                        |                          | NO          | 
 public       | new_purchase_files        | uploaded_at                   | timestamp with time zone    |                          | YES         | now()
 public       | new_purchase_files        | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | new_purchase_files        | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | new_purchase_files        | scope                         | text                        |                          | YES         | 'COMPRAS_NUEVOS'::text
 public       | new_purchases             | id                            | uuid                        |                          | NO          | uuid_generate_v4()
 public       | new_purchases             | mq                            | character varying           |                       50 | NO          | 
 public       | new_purchases             | type                          | character varying           |                       50 | YES         | 'COMPRA DIRECTA'::character varying
 public       | new_purchases             | shipment                      | character varying           |                      100 | YES         | 
 public       | new_purchases             | supplier_name                 | character varying           |                      200 | NO          | 
 public       | new_purchases             | condition                     | character varying           |                       20 | YES         | 'NUEVO'::character varying
 public       | new_purchases             | brand                         | character varying           |                      100 | YES         | 
 public       | new_purchases             | model                         | character varying           |                      100 | NO          | 
 public       | new_purchases             | serial                        | character varying           |                      100 | NO          | 
 public       | new_purchases             | purchase_order                | character varying           |                      100 | YES         | 
 public       | new_purchases             | invoice_number                | character varying           |                      100 | YES         | 
 public       | new_purchases             | invoice_date                  | date                        |                          | YES         | 
 public       | new_purchases             | payment_date                  | date                        |                          | YES         | 
 public       | new_purchases             | machine_location              | character varying           |                      200 | YES         | 
 public       | new_purchases             | incoterm                      | character varying           |                       50 | YES         | 
 public       | new_purchases             | currency                      | character varying           |                       10 | YES         | 'USD'::character varying
 public       | new_purchases             | port_of_loading               | character varying           |                      200 | YES         | 
 public       | new_purchases             | shipment_departure_date       | date                        |                          | YES         | 
 public       | new_purchases             | shipment_arrival_date         | date                        |                          | YES         | 
 public       | new_purchases             | value                         | numeric                     |                          | YES         | 
 public       | new_purchases             | mc                            | character varying           |                       50 | YES         | 
 public       | new_purchases             | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | new_purchases             | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | new_purchases             | created_by                    | uuid                        |                          | YES         | 
 public       | new_purchases             | synced_to_equipment_id        | uuid                        |                          | YES         | 
 public       | new_purchases             | equipment_type                | character varying           |                       50 | YES         | 
 public       | new_purchases             | cabin_type                    | character varying           |                       50 | YES         | 
 public       | new_purchases             | wet_line                      | character varying           |                       10 | YES         | 
 public       | new_purchases             | dozer_blade                   | character varying           |                       10 | YES         | 
 public       | new_purchases             | track_type                    | character varying           |                       50 | YES         | 
 public       | new_purchases             | track_width                   | character varying           |                       50 | YES         | 
 public       | new_purchases             | due_date                      | date                        |                          | YES         | 
 public       | new_purchases             | shipping_costs                | numeric                     |                          | YES         | 0
 public       | new_purchases             | finance_costs                 | numeric                     |                          | YES         | 0
 public       | new_purchases             | purchase_order_pdf_path       | text                        |                          | YES         | 
 public       | new_purchases             | empresa                       | character varying           |                       50 | YES         | 
 public       | new_purchases             | year                          | integer                     |                          | YES         | 
 public       | new_purchases             | port_of_embarkation           | character varying           |                      200 | YES         | 
 public       | new_purchases             | nationalization_date          | date                        |                          | YES         | 
 public       | new_purchases             | payment_term                  | text                        |                          | YES         | 
 public       | new_purchases             | description                   | text                        |                          | YES         | 
 public       | notification_rules        | id                            | uuid                        |                          | NO          | uuid_generate_v4()
 public       | notification_rules        | rule_code                     | character varying           |                      100 | NO          | 
 public       | notification_rules        | name                          | character varying           |                      200 | NO          | 
 public       | notification_rules        | description                   | text                        |                          | YES         | 
 public       | notification_rules        | module_source                 | character varying           |                       50 | NO          | 
 public       | notification_rules        | module_target                 | character varying           |                       50 | NO          | 
 public       | notification_rules        | trigger_event                 | character varying           |                      100 | NO          | 
 public       | notification_rules        | trigger_condition             | jsonb                       |                          | YES         | 
 public       | notification_rules        | notification_type             | character varying           |                       20 | NO          | 
 public       | notification_rules        | notification_priority         | integer                     |                          | YES         | 1
 public       | notification_rules        | notification_title_template   | character varying           |                      200 | NO          | 
 public       | notification_rules        | notification_message_template | text                        |                          | NO          | 
 public       | notification_rules        | target_roles                  | ARRAY                       |                          | YES         | 
 public       | notification_rules        | target_users                  | ARRAY                       |                          | YES         | 
 public       | notification_rules        | action_type                   | character varying           |                       50 | YES         | 
 public       | notification_rules        | action_url_template           | character varying           |                      255 | YES         | 
 public       | notification_rules        | is_active                     | boolean                     |                          | YES         | true
 public       | notification_rules        | check_frequency_minutes       | integer                     |                          | YES         | 60
 public       | notification_rules        | expires_in_days               | integer                     |                          | YES         | 7
 public       | notification_rules        | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | notification_rules        | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | notification_rules        | created_by                    | uuid                        |                          | YES         | 
 public       | notifications             | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | notifications             | user_id                       | uuid                        |                          | NO          | 
 public       | notifications             | type                          | text                        |                          | NO          | 
 public       | notifications             | title                         | text                        |                          | NO          | 
 public       | notifications             | message                       | text                        |                          | NO          | 
 public       | notifications             | reference_id                  | character varying           |                      255 | YES         | 
 public       | notifications             | is_read                       | boolean                     |                          | YES         | false
 public       | notifications             | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | notifications             | module_source                 | character varying           |                       50 | YES         | 
 public       | notifications             | module_target                 | character varying           |                       50 | YES         | 
 public       | notifications             | priority                      | integer                     |                          | YES         | 1
 public       | notifications             | metadata                      | jsonb                       |                          | YES         | 
 public       | notifications             | action_type                   | character varying           |                       50 | YES         | 
 public       | notifications             | action_url                    | character varying           |                      255 | YES         | 
 public       | notifications             | expires_at                    | timestamp with time zone    |                          | YES         | 
 public       | notifications             | read_at                       | timestamp with time zone    |                          | YES         | 
 public       | preselections             | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | preselections             | supplier_name                 | character varying           |                      255 | NO          | 
 public       | preselections             | auction_date                  | date                        |                          | NO          | 
 public       | preselections             | lot_number                    | character varying           |                      100 | NO          | 
 public       | preselections             | brand                         | character varying           |                      100 | YES         | 
 public       | preselections             | model                         | character varying           |                      255 | NO          | 
 public       | preselections             | serial                        | character varying           |                      255 | NO          | 
 public       | preselections             | year                          | integer                     |                          | YES         | 
 public       | preselections             | hours                         | integer                     |                          | YES         | 
 public       | preselections             | suggested_price               | numeric                     |                          | YES         | 
 public       | preselections             | auction_url                   | text                        |                          | YES         | 
 public       | preselections             | decision                      | USER-DEFINED                |                          | YES         | 'PENDIENTE'::preselection_decision
 public       | preselections             | transferred_to_auction        | boolean                     |                          | YES         | false
 public       | preselections             | auction_id                    | uuid                        |                          | YES         | 
 public       | preselections             | comments                      | text                        |                          | YES         | 
 public       | preselections             | created_by                    | uuid                        |                          | NO          | 
 public       | preselections             | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | preselections             | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | preselections             | transferred_at                | timestamp with time zone    |                          | YES         | 
 public       | preselections             | colombia_time                 | timestamp with time zone    |                          | YES         | 
 public       | preselections             | auction_type                  | character varying           |                      120 | YES         | 
 public       | preselections             | auction_country               | character varying           |                      120 | YES         | 
 public       | preselections             | currency                      | character varying           |                       12 | YES         | 'USD'::character varying
 public       | preselections             | location                      | character varying           |                      150 | YES         | 
 public       | preselections             | final_price                   | numeric                     |                          | YES         | 
 public       | preselections             | shoe_width_mm                 | numeric                     |                          | YES         | 
 public       | preselections             | spec_pip                      | boolean                     |                          | YES         | false
 public       | preselections             | spec_blade                    | boolean                     |                          | YES         | false
 public       | preselections             | spec_cabin                    | character varying           |                       80 | YES         | 
 public       | preselections             | local_time                    | character varying           |                       10 | YES         | 
 public       | preselections             | auction_city                  | character varying           |                      100 | YES         | 
 public       | preselections             | arm_type                      | character varying           |                       80 | YES         | 
 public       | purchase_files            | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | purchase_files            | purchase_id                   | uuid                        |                          | NO          | 
 public       | purchase_files            | file_name                     | character varying           |                      255 | NO          | 
 public       | purchase_files            | file_path                     | character varying           |                      500 | NO          | 
 public       | purchase_files            | file_type                     | character varying           |                       50 | NO          | 
 public       | purchase_files            | folder                        | character varying           |                       50 | NO          | 
 public       | purchase_files            | file_size                     | bigint                      |                          | NO          | 
 public       | purchase_files            | mime_type                     | character varying           |                      100 | YES         | 
 public       | purchase_files            | uploaded_by                   | uuid                        |                          | NO          | 
 public       | purchase_files            | uploaded_at                   | timestamp with time zone    |                          | YES         | now()
 public       | purchase_files            | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | purchase_files            | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | purchases                 | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | purchases                 | machine_id                    | uuid                        |                          | YES         | 
 public       | purchases                 | auction_id                    | uuid                        |                          | YES         | 
 public       | purchases                 | supplier_id                   | text                        |                          | YES         | 
 public       | purchases                 | invoice_date                  | date                        |                          | YES         | 
 public       | purchases                 | incoterm                      | text                        |                          | YES         | 
 public       | purchases                 | exw_value                     | numeric                     |                          | YES         | 0
 public       | purchases                 | fob_value                     | numeric                     |                          | YES         | 0
 public       | purchases                 | disassembly_cost              | numeric                     |                          | YES         | 0
 public       | purchases                 | usd_rate                      | numeric                     |                          | YES         | 1
 public       | purchases                 | jpy_rate                      | numeric                     |                          | YES         | 
 public       | purchases                 | trm                           | numeric                     |                          | YES         | 
 public       | purchases                 | port_of_shipment              | text                        |                          | YES         | 
 public       | purchases                 | shipment_type                 | text                        |                          | YES         | 
 public       | purchases                 | departure_date                | date                        |                          | YES         | 
 public       | purchases                 | estimated_arrival_date        | date                        |                          | YES         | 
 public       | purchases                 | payment_status                | text                        |                          | NO          | 'PENDING'::text
 public       | purchases                 | payment_date                  | date                        |                          | YES         | 
 public       | purchases                 | created_by                    | uuid                        |                          | NO          | 
 public       | purchases                 | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | purchases                 | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | purchases                 | invoice_number                | text                        |                          | YES         | 
 public       | purchases                 | currency                      | text                        |                          | YES         | 'JPY'::text
 public       | purchases                 | fob_additional                | numeric                     |                          | YES         | 0
 public       | purchases                 | disassembly_load              | numeric                     |                          | YES         | 0
 public       | purchases                 | usd_jpy_rate                  | numeric                     |                          | YES         | 
 public       | purchases                 | comments                      | text                        |                          | YES         | 
 public       | purchases                 | mq                            | text                        |                          | YES         | 
 public       | purchases                 | shipment_type_v2              | text                        |                          | YES         | 
 public       | purchases                 | supplier_name                 | text                        |                          | YES         | 
 public       | purchases                 | model                         | text                        |                          | YES         | 
 public       | purchases                 | serial                        | text                        |                          | YES         | 
 public       | purchases                 | location                      | text                        |                          | YES         | 
 public       | purchases                 | currency_type                 | text                        |                          | YES         | 'JPY'::text
 public       | purchases                 | port_of_embarkation           | text                        |                          | YES         | 
 public       | purchases                 | exw_value_formatted           | text                        |                          | YES         | 
 public       | purchases                 | fob_expenses                  | text                        |                          | YES         | 
 public       | purchases                 | disassembly_load_value        | numeric                     |                          | YES         | 
 public       | purchases                 | fob_total                     | numeric                     |                          | YES         | 
 public       | purchases                 | usd_jpy_rate_display          | text                        |                          | YES         | 
 public       | purchases                 | trm_display                   | text                        |                          | YES         | 
 public       | purchases                 | payment_date_display          | text                        |                          | YES         | 
 public       | purchases                 | shipment_departure_display    | text                        |                          | YES         | 
 public       | purchases                 | estimated_arrival_display     | text                        |                          | YES         | 
 public       | purchases                 | sales_reported                | text                        |                          | YES         | 'PDTE'::text
 public       | purchases                 | commerce_reported             | text                        |                          | YES         | 'PDTE'::text
 public       | purchases                 | luis_lemus_reported           | text                        |                          | YES         | 'PDTE'::text
 public       | purchases                 | trm_rate                      | numeric                     |                          | YES         | 
 public       | purchases                 | shipment_departure_date       | date                        |                          | YES         | 
 public       | purchases                 | shipment_arrival_date         | date                        |                          | YES         | 
 public       | purchases                 | purchase_type                 | text                        |                          | YES         | 
 public       | purchases                 | inland                        | numeric                     |                          | YES         | 
 public       | purchases                 | gastos_pto                    | numeric                     |                          | YES         | 
 public       | purchases                 | flete                         | numeric                     |                          | YES         | 
 public       | purchases                 | traslado                      | numeric                     |                          | YES         | 
 public       | purchases                 | repuestos                     | numeric                     |                          | YES         | 
 public       | purchases                 | mant_ejec                     | numeric                     |                          | YES         | 
 public       | purchases                 | proyectado                    | numeric                     |                          | YES         | 
 public       | purchases                 | pvp_est                       | numeric                     |                          | YES         | 
 public       | purchases                 | comentarios                   | text                        |                          | YES         | 
 public       | purchases                 | sales_state                   | text                        |                          | YES         | 
 public       | purchases                 | nationalization_date          | date                        |                          | YES         | 
 public       | purchases                 | port_of_destination           | text                        |                          | YES         | 
 public       | purchases                 | current_movement              | text                        |                          | YES         | 
 public       | purchases                 | current_movement_date         | date                        |                          | YES         | 
 public       | purchases                 | brand                         | character varying           |                      100 | YES         | 
 public       | purchases                 | current_movement_plate        | character varying           |                       50 | YES         | 
 public       | purchases                 | mc                            | character varying           |                       50 | YES         | 
 public       | purchases                 | condition                     | character varying           |                       20 | YES         | 'USADO'::character varying
 public       | purchases                 | purchase_order                | character varying           |                      100 | YES         | 
 public       | purchases                 | valor_factura_proveedor       | numeric                     |                          | YES         | 
 public       | purchases                 | observaciones_pagos           | text                        |                          | YES         | 
 public       | purchases                 | pendiente_a                   | character varying           |                      100 | YES         | 
 public       | purchases                 | fecha_vto_fact                | date                        |                          | YES         | 
 public       | purchases                 | cpd                           | character varying           |                       50 | YES         | 
 public       | purchases                 | pending_marker                | boolean                     |                          | YES         | false
 public       | purchases                 | cu                            | character varying           |                       50 | YES         | 
 public       | purchases                 | cif_usd                       | numeric                     |                          | YES         | 
 public       | purchases                 | inland_verified               | boolean                     |                          | YES         | false
 public       | purchases                 | gastos_pto_verified           | boolean                     |                          | YES         | false
 public       | purchases                 | flete_verified                | boolean                     |                          | YES         | false
 public       | purchases                 | traslado_verified             | boolean                     |                          | YES         | false
 public       | purchases                 | repuestos_verified            | boolean                     |                          | YES         | false
 public       | purchases                 | fob_total_verified            | boolean                     |                          | YES         | false
 public       | purchases                 | cif_usd_verified              | boolean                     |                          | YES         | false
 public       | purchases                 | driver_name                   | text                        |                          | YES         | 
 public       | purchases                 | due_date                      | date                        |                          | YES         | 
 public       | purchases                 | empresa                       | character varying           |                       50 | YES         | 
 public       | pvp_history               | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | pvp_history               | provee                        | character varying           |                      100 | YES         | 
